"OverallQual";"Electrical";"SalePrice";"LotArea";"Street";"ExterCond"
7;"SBrkr";208500;;;
6;"SBrkr";181500;;;
7;"SBrkr";223500;;;
7;"SBrkr";140000;;;
8;"SBrkr";250000;;;
5;"SBrkr";143000;;;
8;"SBrkr";307000;;;
7;"SBrkr";200000;;;
7;"FuseF";129900;;;
5;"SBrkr";118000;;;
5;"SBrkr";129500;;;
9;"SBrkr";345000;;;
5;"SBrkr";144000;;;
7;"SBrkr";279500;;;
6;"SBrkr";157000;;;
7;"FuseA";132000;;;
6;"SBrkr";149000;;;
4;"SBrkr";90000;;;
5;"SBrkr";159000;;;
5;"SBrkr";139000;;;
8;"SBrkr";325300;;;
7;"FuseF";139400;;;
8;"SBrkr";230000;;;
5;"SBrkr";129900;;;
5;"SBrkr";154000;;;
8;"SBrkr";256300;;;
5;"SBrkr";134800;;;
8;"SBrkr";306000;;;
5;"SBrkr";207500;;;
4;"SBrkr";68500;;;
4;"SBrkr";40000;;;
5;"SBrkr";149350;;;
8;"SBrkr";179900;;;
5;"SBrkr";165500;;;
9;"SBrkr";277500;;;
8;"SBrkr";309000;;;
5;"SBrkr";145000;;;
5;"SBrkr";153000;;;
5;"SBrkr";109000;;;
4;"FuseP";82000;;;
6;"SBrkr";160000;;;
5;"SBrkr";170000;;;
5;"SBrkr";144000;;;
5;"SBrkr";130250;;;
5;"FuseA";141000;;;
9;"SBrkr";319900;;;
7;"SBrkr";239686;;;
8;"SBrkr";249700;;;
4;"SBrkr";113000;;;
5;"SBrkr";127000;;;
6;"SBrkr";177000;;;
6;"SBrkr";114500;;;
5;"SBrkr";110000;;;
9;"SBrkr";385000;;;
5;"SBrkr";130000;;;
6;"SBrkr";180500;;;
8;"SBrkr";172500;;;
7;"SBrkr";196500;;;
10;"SBrkr";438780;;;
5;"SBrkr";124900;;;
6;"SBrkr";158000;;;
5;"SBrkr";101000;;;
8;"SBrkr";202500;;;
7;"SBrkr";140000;;;
7;"SBrkr";219500;;;
8;"SBrkr";317000;;;
7;"SBrkr";180000;;;
7;"SBrkr";226000;;;
4;"SBrkr";80000;;;
7;"SBrkr";225000;;;
7;"SBrkr";244000;;;
4;"SBrkr";129500;;;
7;"SBrkr";185000;;;
5;"SBrkr";144900;;;
3;"SBrkr";107400;;;
4;"SBrkr";91000;;;
4;"FuseA";135750;;;
5;"SBrkr";127000;;;
4;"SBrkr";136500;;;
5;"SBrkr";110000;;;
6;"SBrkr";193500;;;
6;"SBrkr";153500;;;
8;"SBrkr";245000;;;
5;"SBrkr";126500;;;
7;"SBrkr";168500;;;
8;"SBrkr";260000;;;
6;"SBrkr";174000;;;
6;"SBrkr";164500;;;
3;"SBrkr";85000;;;
4;"SBrkr";123600;;;
4;"FuseA";109900;;;
5;"SBrkr";98600;;;
5;"SBrkr";163500;;;
6;"SBrkr";133900;;;
6;"SBrkr";204750;;;
6;"SBrkr";185000;;;
7;"SBrkr";214000;;;
4;"FuseF";94750;;;
5;"SBrkr";83000;;;
4;"SBrkr";128950;;;
6;"SBrkr";205000;;;
6;"SBrkr";178000;;;
5;"SBrkr";118964;;;
7;"SBrkr";198900;;;
7;"FuseF";169500;;;
8;"SBrkr";250000;;;
4;"SBrkr";100000;;;
5;"SBrkr";115000;;;
5;"FuseF";115000;;;
6;"SBrkr";190000;;;
6;"SBrkr";136900;;;
7;"SBrkr";180000;;;
7;"SBrkr";383970;;;
6;"SBrkr";217000;;;
6;"SBrkr";259500;;;
6;"SBrkr";176000;;;
5;"SBrkr";139000;;;
5;"SBrkr";155000;;;
7;"SBrkr";320000;;;
6;"SBrkr";163990;;;
6;"SBrkr";180000;;;
4;"SBrkr";100000;;;
6;"SBrkr";136000;;;
6;"SBrkr";153900;;;
6;"SBrkr";181000;;;
6;"SBrkr";84500;;;
6;"SBrkr";128000;;;
5;"SBrkr";87000;;;
6;"SBrkr";155000;;;
5;"FuseA";150000;;;
7;"SBrkr";226000;;;
6;"SBrkr";244000;;;
5;"SBrkr";150750;;;
8;"SBrkr";220000;;;
5;"SBrkr";180000;;;
7;"SBrkr";174000;;;
5;"SBrkr";143000;;;
7;"SBrkr";171000;;;
8;"SBrkr";230000;;;
6;"SBrkr";231500;;;
4;"SBrkr";115000;;;
7;"SBrkr";260000;;;
5;"SBrkr";166000;;;
7;"SBrkr";204000;;;
5;"SBrkr";125000;;;
6;"SBrkr";130000;;;
5;"FuseA";105000;;;
7;"SBrkr";222500;;;
7;"SBrkr";141000;;;
5;"FuseA";115000;;;
5;"SBrkr";122000;;;
8;"SBrkr";372402;;;
6;"SBrkr";190000;;;
6;"SBrkr";235000;;;
6;"FuseA";125000;;;
6;"FuseF";79000;;;
5;"FuseF";109500;;;
8;"SBrkr";269500;;;
7;"SBrkr";254900;;;
7;"SBrkr";320000;;;
6;"SBrkr";162500;;;
9;"SBrkr";412500;;;
7;"SBrkr";220000;;;
4;"SBrkr";103200;;;
6;"FuseA";152000;;;
5;"SBrkr";127500;;;
5;"FuseA";190000;;;
8;"SBrkr";325624;;;
7;"SBrkr";183500;;;
8;"SBrkr";228000;;;
5;"SBrkr";128500;;;
6;"SBrkr";215000;;;
7;"SBrkr";239000;;;
6;"SBrkr";163000;;;
6;"SBrkr";184000;;;
6;"SBrkr";243000;;;
6;"SBrkr";211000;;;
5;"SBrkr";172500;;;
9;"SBrkr";501837;;;
5;"SBrkr";100000;;;
6;"SBrkr";177000;;;
7;"SBrkr";200100;;;
5;"SBrkr";120000;;;
7;"SBrkr";200000;;;
5;"SBrkr";127000;;;
10;"SBrkr";475000;;;
7;"SBrkr";173000;;;
5;"SBrkr";135000;;;
5;"SBrkr";153337;;;
8;"SBrkr";286000;;;
8;"SBrkr";315000;;;
7;"SBrkr";184000;;;
7;"SBrkr";192000;;;
7;"SBrkr";130000;;;
5;"SBrkr";127000;;;
6;"SBrkr";148500;;;
7;"SBrkr";311872;;;
8;"SBrkr";235000;;;
6;"SBrkr";104000;;;
8;"SBrkr";274900;;;
4;"SBrkr";140000;;;
6;"SBrkr";171500;;;
6;"SBrkr";112000;;;
6;"SBrkr";149000;;;
5;"SBrkr";110000;;;
7;"SBrkr";180500;;;
5;"SBrkr";143900;;;
4;"SBrkr";141000;;;
7;"SBrkr";277000;;;
6;"SBrkr";145000;;;
5;"FuseA";98000;;;
6;"SBrkr";186000;;;
7;"SBrkr";252678;;;
5;"SBrkr";156000;;;
6;"SBrkr";161750;;;
5;"SBrkr";134450;;;
7;"SBrkr";210000;;;
4;"SBrkr";107000;;;
7;"SBrkr";311500;;;
7;"SBrkr";167240;;;
7;"SBrkr";204900;;;
6;"SBrkr";200000;;;
6;"SBrkr";179900;;;
4;"SBrkr";97000;;;
